ccode,country,cname,cmark,year,wars,war,warl,onset,durest,aim,ended,ethwar,waryrs,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
40,CUBA,CUBA,0,1950,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1951,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1952,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1953,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1954,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1955,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1956,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1957,0,0,0,0,,,,,,0,0,,,0,0,0,0,
40,CUBA,CUBA,0,1958,1,1,0,1,2,1,1,0,1958-59,1,1,,,1,1,0,0,
40,CUBA,CUBA,0,1959,1,1,1,0,,,,,,1,0,,,1,0,1,1,
40,CUBA,CUBA,0,1960,0,0,1,0,,,,,,0,0,0,0,0,0,1,1,0
40,CUBA,CUBA,0,1961,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1962,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1963,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1964,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1965,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1966,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1967,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1968,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1969,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1970,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1971,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1972,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1973,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1974,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1975,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1976,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1977,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1978,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1979,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1980,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1981,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1982,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1983,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1984,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1985,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1986,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1987,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1988,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1989,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1990,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1991,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1992,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
40,CUBA,CUBA,0,1993,0,0,0,0,,,,,,0,0,0,0,,,0,0,0
40,CUBA,CUBA,0,1994,0,0,0,0,,,,,,0,0,0,0,,,,0,0
40,CUBA,CUBA,0,1995,0,0,0,0,,,,,,0,0,0,0,,,,0,0
40,CUBA,CUBA,0,1996,0,0,0,0,,,,,,0,0,0,0,,,,0,0
40,CUBA,CUBA,0,1997,0,0,0,0,,,,,,0,0,0,0,,,,0,0
40,CUBA,CUBA,0,1998,0,0,0,0,,,,,,0,0,0,0,,,,0,0
40,CUBA,CUBA,0,1999,0,0,0,0,,,,,,0,0,0,0,,,,0,0
41,HAITI,HAITI,1,1945,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1946,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1947,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1948,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1949,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1950,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1951,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1952,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1953,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1954,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1955,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1956,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1957,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1958,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1959,0,0,0,0,,,,,,0,0,,,0,0,0,0,
41,HAITI,HAITI,0,1960,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1961,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1962,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1963,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1964,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1965,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1966,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1967,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1968,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1969,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1970,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1971,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1972,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1973,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1974,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1975,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1976,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1977,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1978,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1979,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1980,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1981,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1982,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1983,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1984,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1985,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1986,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1987,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1988,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1989,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1990,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1991,1,1,0,1,5,1,1,0,1991-95,1,1,0,0,0,0,0,0,0
41,HAITI,HAITI,0,1992,1,1,1,0,,,,,,1,0,0,0,0,0,0,1,0
41,HAITI,HAITI,0,1993,1,1,1,0,,,,,,1,0,0,0,,,0,1,0
41,HAITI,HAITI,0,1994,1,1,1,0,,,,,,1,0,0,0,,,,1,0
41,HAITI,HAITI,0,1995,1,1,1,0,,,,,,1,1,0,0,,,,1,0
41,HAITI,HAITI,0,1996,0,0,1,0,,,,,,1,0,0,0,,,,1,0
41,HAITI,HAITI,0,1997,0,0,0,0,,,,,,0,0,0,0,,,,1,0
41,HAITI,HAITI,0,1998,0,0,0,0,,,,,,0,0,0,0,,,,0,0
41,HAITI,HAITI,0,1999,0,0,0,0,,,,,,0,0,0,0,,,,0,0
42,DOMINICAN REP.,DOMINICA,1,1945,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1946,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1947,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1948,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1949,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1950,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1951,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1952,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1953,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1954,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1955,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1956,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1957,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1958,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1959,0,0,0,0,,,,,,0,0,,,0,0,0,0,
42,DOMINICAN REP.,DOMINICA,0,1960,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1961,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1962,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1963,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1964,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1965,1,1,0,1,1,1,1,0,1965-65,1,1,1,1,1,1,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1966,0,0,1,0,,,,,,0,0,0,0,0,0,1,1,1
42,DOMINICAN REP.,DOMINICA,0,1967,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1968,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1969,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1970,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1971,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1972,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1973,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1974,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1975,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1976,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1977,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1978,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1979,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1980,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1981,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1982,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1983,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1984,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1985,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1986,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1987,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1988,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1989,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1990,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1991,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1992,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1993,0,0,0,0,,,,,,0,0,0,0,,,0,0,0
42,DOMINICAN REP.,DOMINICA,0,1994,0,0,0,0,,,,,,0,0,0,0,,,,0,0
42,DOMINICAN REP.,DOMINICA,0,1995,0,0,0,0,,,,,,0,0,0,0,,,,0,0
42,DOMINICAN REP.,DOMINICA,0,1996,0,0,0,0,,,,,,0,0,0,0,,,,0,0
42,DOMINICAN REP.,DOMINICA,0,1997,0,0,0,0,,,,,,0,0,0,0,,,,0,0
42,DOMINICAN REP.,DOMINICA,0,1998,0,0,0,0,,,,,,0,0,0,0,,,,0,0
42,DOMINICAN REP.,DOMINICA,0,1999,0,0,0,0,,,,,,0,0,0,0,,,,0,0
51,JAMAICA,JAMAICA,1,1962,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1963,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1964,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1965,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1966,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1967,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1968,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1969,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1970,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1971,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1972,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1973,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
51,JAMAICA,JAMAICA,0,1974,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
